face, ghostCell, u_BI, v_BI, cx, cy, u_mirror, v_mirror, x_mirror, y_mirror
191959, 96093, 0.58804, -0.0458082, 0.174947, -0.0556819, 0.588039, -0.0458086, 0.174894, -0.0563637
191961, 96094, 0.588716, -0.0412589, 0.184901, -0.0564148, 0.588716, -0.0412596, 0.184802, -0.0578297
191963, 96095, 0.589437, -0.0357703, 0.194875, -0.0570679, 0.589437, -0.0357711, 0.194749, -0.0591358
191965, 96096, 0.589923, -0.0315325, 0.204859, -0.0576446, 0.589922, -0.0315335, 0.204717, -0.0602892
191967, 96097, 0.590334, -0.0274267, 0.214854, -0.0581498, 0.590334, -0.0274276, 0.214707, -0.0612996
191969, 96098, 0.590677, -0.0234491, 0.224858, -0.0585872, 0.590677, -0.0234501, 0.224715, -0.0621744
191971, 96099, 0.590893, -0.0205481, 0.234862, -0.0589596, 0.590893, -0.0205491, 0.234725, -0.0629193
191973, 96100, 0.591131, -0.0167873, 0.244879, -0.0592707, 0.591131, -0.0167882, 0.244757, -0.0635414
191975, 96101, 0.591316, -0.0131463, 0.254899, -0.0595235, 0.591316, -0.013147, 0.254799, -0.064047
191977, 96102, 0.591451, -0.00962231, 0.264923, -0.059721, 0.591451, -0.00962283, 0.264846, -0.0644421
191979, 96103, 0.591524, -0.00705456, 0.274942, -0.0598644, 0.591524, -0.00705495, 0.274884, -0.0647288
191981, 96104, 0.591584, -0.00372919, 0.284969, -0.0599578, 0.591584, -0.0037294, 0.284937, -0.0649155
191983, 96105, 0.591605, -0.00130757, 0.294989, -0.0600019, 0.591605, -0.00130765, 0.294978, -0.0650039
191985, 96106, 0.591602, 0.00182663, 0.305015, -0.0600003, 0.591602, 0.00182674, 0.305031, -0.0650006
191987, 96107, 0.591579, 0.00410759, 0.315034, -0.0599533, 0.591579, 0.00410783, 0.315069, -0.0649065
191989, 96108, 0.59154, 0.00632991, 0.325052, -0.059864, 0.59154, 0.00633027, 0.325104, -0.0647281
191991, 96109, 0.591465, 0.00920347, 0.335074, -0.059734, 0.591465, 0.00920397, 0.335147, -0.064468
191993, 96110, 0.591392, 0.0112928, 0.345087, -0.059564, 0.591392, 0.0112934, 0.345174, -0.0641281
191995, 96111, 0.591308, 0.0133267, 0.355098, -0.0593566, 0.591308, 0.0133274, 0.355196, -0.0637132
191997, 96112, 0.591212, 0.0153063, 0.365106, -0.059113, 0.591212, 0.015307, 0.365213, -0.0632259
191999, 96113, 0.591106, 0.0172325, 0.375112, -0.0588345, 0.591106, 0.0172332, 0.375224, -0.062669
192001, 96114, 0.59095, 0.0197196, 0.385118, -0.0585223, 0.59095, 0.0197204, 0.385235, -0.0620445
192003, 96115, 0.590824, 0.0215253, 0.395116, -0.0581775, 0.590824, 0.0215261, 0.395232, -0.061355
192005, 96116, 0.59069, 0.0232813, 0.40511, -0.0578016, 0.59069, 0.023282, 0.405221, -0.0606032
192007, 96117, 0.590551, 0.0249884, 0.415101, -0.0573957, 0.590551, 0.0249891, 0.415203, -0.0597914
192009, 96118, 0.590405, 0.026648, 0.425089, -0.0569608, 0.590405, 0.0266486, 0.425177, -0.0589216
192011, 96119, 0.590255, 0.028261, 0.435072, -0.056498, 0.590255, 0.0282615, 0.435143, -0.0579959
192013, 96120, 0.5901, 0.0298287, 0.445051, -0.0560081, 0.5901, 0.029829, 0.445102, -0.0570162
192015, 96121, 0.589942, 0.0313522, 0.455026, -0.0554922, 0.589942, 0.0313523, 0.455052, -0.0559844
192832, 96529, 0.573474, -0.101976, 0.0948343, -0.0459316, 0.573474, -0.101977, 0.0946687, -0.0468633
192834, 96530, 0.576769, -0.0925126, 0.104586, -0.047583, 0.576769, -0.0925153, 0.104171, -0.050166
192836, 96531, 0.579136, -0.0849892, 0.1144, -0.0490873, 0.579135, -0.0849932, 0.1138, -0.0531747
192838, 96532, 0.58158, -0.0763689, 0.124283, -0.050459, 0.581579, -0.0763737, 0.123566, -0.0559181
192840, 96533, 0.583326, -0.0695051, 0.134201, -0.0517055, 0.583326, -0.0695104, 0.133402, -0.0584109
192842, 96534, 0.58484, -0.0629153, 0.144157, -0.0528376, 0.584839, -0.062921, 0.143314, -0.0606752
192844, 96535, 0.586145, -0.0565856, 0.154144, -0.0538636, 0.586145, -0.0565914, 0.153289, -0.0627273
192845, 96093, 0.58804, -0.0458082, 0.174947, -0.0556819, 0.588039, -0.0458086, 0.174894, -0.0563637
192846, 96536, 0.587055, -0.0517006, 0.164138, -0.0547879, 0.587054, -0.0517065, 0.163276, -0.0645758
192903, 96121, 0.589942, 0.0313522, 0.455026, -0.0554922, 0.589942, 0.0313523, 0.455052, -0.0559844
192906, 96566, 0.58978, 0.0328327, 0.465552, -0.0549201, 0.58978, 0.0328364, 0.466104, -0.0648403
192908, 96567, 0.589616, 0.0342714, 0.475544, -0.0543518, 0.589616, 0.0342751, 0.476087, -0.0637036
192910, 96568, 0.589449, 0.0356696, 0.48553, -0.0537599, 0.589449, 0.0356732, 0.48606, -0.0625197
192912, 96569, 0.589281, 0.0370285, 0.495512, -0.053145, 0.589281, 0.0370319, 0.496024, -0.0612901
192914, 96570, 0.589112, 0.0383493, 0.505489, -0.052508, 0.589111, 0.0383526, 0.505977, -0.0600161
192916, 96571, 0.588941, 0.0396333, 0.515461, -0.0518496, 0.588941, 0.0396365, 0.515922, -0.0586991
192918, 96572, 0.588769, 0.0408819, 0.525428, -0.0511703, 0.588769, 0.0408848, 0.525857, -0.0573405
192920, 96573, 0.588597, 0.0420963, 0.535391, -0.0504707, 0.588597, 0.0420989, 0.535783, -0.0559415
192922, 96574, 0.588482, 0.0428874, 0.545346, -0.0497518, 0.588482, 0.0428898, 0.545693, -0.0545036
192924, 96575, 0.58831, 0.0440476, 0.5553, -0.0490133, 0.58831, 0.0440497, 0.555601, -0.0530266
192926, 96576, 0.588138, 0.045177, 0.56525, -0.0482562, 0.588138, 0.0451787, 0.5655, -0.0515125
192928, 96577, 0.587966, 0.0462769, 0.575195, -0.0474811, 0.587966, 0.0462783, 0.575391, -0.0499621
192930, 96578, 0.587794, 0.0473486, 0.585136, -0.0466883, 0.587794, 0.0473495, 0.585272, -0.0483765
192932, 96579, 0.587623, 0.0483934, 0.595072, -0.0458782, 0.587623, 0.0483939, 0.595145, -0.0467565
192934, 96580, 0.587452, 0.0494124, 0.605004, -0.0450514, 0.587452, 0.0494124, 0.605009, -0.0451029
193713, 96969, 0.547428, -0.155516, 0.0544719, -0.0368588, 0.547427, -0.15552, 0.0539439, -0.0387177
193715, 96970, 0.556736, -0.139336, 0.0639031, -0.0393828, 0.556734, -0.139343, 0.0628062, -0.0437656
193717, 96971, 0.563385, -0.126097, 0.073508, -0.0416663, 0.563383, -0.126106, 0.0720159, -0.0483325
193718, 96529, 0.573474, -0.101976, 0.0948343, -0.0459316, 0.573474, -0.101977, 0.0946687, -0.0468633
193719, 96972, 0.568899, -0.113662, 0.083254, -0.0437393, 0.568897, -0.113673, 0.0815079, -0.0524786
193822, 96580, 0.587452, 0.0494124, 0.605004, -0.0450514, 0.587452, 0.0494124, 0.605009, -0.0451029
193825, 97025, 0.587281, 0.050407, 0.615784, -0.044135, 0.587281, 0.0504123, 0.616568, -0.0532701
193827, 97026, 0.587112, 0.0513784, 0.625724, -0.0432729, 0.587111, 0.0513832, 0.626448, -0.0515457
193829, 97027, 0.586943, 0.0523277, 0.635659, -0.0423949, 0.586942, 0.0523321, 0.636319, -0.0497898
193831, 97028, 0.586774, 0.0532561, 0.64559, -0.0415015, 0.586774, 0.0532601, 0.64618, -0.0480031
193833, 97029, 0.586607, 0.0541648, 0.655516, -0.040593, 0.586606, 0.0541683, 0.656033, -0.046186
193835, 97030, 0.586439, 0.0550549, 0.665438, -0.0396696, 0.586439, 0.0550579, 0.665877, -0.0443391
193837, 97031, 0.586273, 0.0559274, 0.675356, -0.0387315, 0.586273, 0.0559298, 0.675712, -0.0424629
193839, 97032, 0.586107, 0.0567834, 0.685269, -0.0377789, 0.586106, 0.0567852, 0.685538, -0.0405578
193841, 97033, 0.585941, 0.0576239, 0.695178, -0.0368121, 0.585941, 0.0576251, 0.695356, -0.0386241
193843, 97034, 0.585776, 0.0584498, 0.705083, -0.0358312, 0.585776, 0.0584504, 0.705166, -0.0366623
194596, 97410, 0.480718, -0.230883, 0.0245525, -0.0259318, 0.480716, -0.230885, 0.0241049, -0.0268637
194598, 97411, 0.510585, -0.203394, 0.0331301, -0.029694, 0.510581, -0.203405, 0.0312603, -0.0343879
194599, 96969, 0.547428, -0.155516, 0.0544719, -0.0368588, 0.547427, -0.15552, 0.0539439, -0.0387177
194600, 97412, 0.530803, -0.179654, 0.0422703, -0.033065, 0.530797, -0.17967, 0.0395407, -0.04113
194731, 97034, 0.585776, 0.0584498, 0.705083, -0.0358312, 0.585776, 0.0584504, 0.705166, -0.0366623
