Time,Residual_0,Residual_1,Residual_2,Residual_3,cl,cd,cm,
2.1079245999999999e-02,1.9850665726105773e-02,7.5441475071214509e-03,9.9015328309574220e-03,7.5248569113511868e-02,1.5570510797511972e-01,3.1889693248498679e-01,-1.1024344698171487e-01,
3.7834408999999999e-02,7.5611097453950789e-03,1.8694677736703295e-02,1.7132111080064402e-02,2.7450936086090602e-02,1.6769808727853353e-01,3.5734776896843812e-01,-1.3669823112843793e-01,
5.4177688000000002e-02,1.4849496533970840e-02,1.0632952769068227e-02,7.3159902416181271e-03,5.7406383356719666e-02,1.3489695106950733e-01,1.6056574642643454e-01,-1.0971068662013753e-01,
7.0589786000000002e-02,7.9832308871878241e-03,1.1338774792002636e-02,1.2073546045377956e-02,2.9425160517474531e-02,1.3141259420742851e-01,9.5761013684644403e-02,-9.7519931247256789e-02,
8.6825017000000004e-02,9.5918447668005349e-03,9.5313196594467887e-03,5.8254004699247264e-03,3.6212350460832390e-02,1.4667945544494004e-01,1.6659875303830038e-01,-1.0297494418381903e-01,
1.0327901000000000e-01,6.9847128896376679e-03,7.1577555537180081e-03,8.2509600236782780e-03,2.5872683919957545e-02,1.6113025434090367e-01,1.7497519010660872e-01,-9.8027333764379457e-02,
1.1944783300000000e-01,7.2669913890054125e-03,8.6129530704270561e-03,5.2285877500621329e-03,2.6888627615615408e-02,1.6702531621330124e-01,7.9641714286305454e-02,-8.1565134153283925e-02,
1.3567436299999999e-01,6.6638931570353619e-03,5.2636189558450839e-03,6.1011633190158508e-03,2.4481127491883348e-02,1.6428240623885448e-01,2.7583220661415296e-02,-7.1689101934857807e-02,
1.5203175499999999e-01,5.7838708376631133e-03,6.7271636949347317e-03,4.6769946937672315e-03,2.1166180055484367e-02,1.6532550414393979e-01,7.1307182454932061e-02,-7.1809184922683553e-02,
1.6813377900000001e-01,5.5144798908884881e-03,4.6590812450212349e-03,4.6508469015088217e-03,2.0137003618941728e-02,1.8219733627204610e-01,1.0408615168144500e-01,-7.1731621047301089e-02,
1.8439714200000001e-01,5.1518977087319359e-03,5.2687125710469077e-03,4.1278158479076017e-03,1.8574305764862391e-02,2.0400807106143704e-01,6.2842724879649398e-02,-6.7583426522886306e-02,
2.0132971000000000e-01,5.1332530586389140e-03,3.8493039688603800e-03,3.7629091329227475e-03,1.8589329453190969e-02,2.0924961272298501e-01,1.3811317032087822e-02,-6.4427361857363127e-02,
