aoa,cl,cd,cm,valarezo
-5.0,-0.34665284173876615,0.0003998268794977371,0.03819104134468832,0.0
-4.5,-0.2863480389224987,0.00036794559890691327,0.0225897996258617,0.0
-4.0,-0.22601970706835556,0.0003360229383451046,0.006950870570829814,0.0
-3.5,-0.1656724406529345,0.00030410642390030023,-0.008720982051119316,0.0
-3.0,-0.1053108367751435,0.00027224355944270806,-0.024420984441859434,0.0
-2.5,-0.04493949480513507,0.00024048179211556248,-0.040144354228573445,0.0
-2.0,0.0154369839677312,0.00020886847786756173,-0.055886301920509154,0.0
-1.5,0.07581399668788394,0.00017745084704847049,-0.0716420323679032,0.0
-1.0,0.13618693928746323,0.00014627597009269833,-0.0874067462226324,0.0
-0.5,0.19655120684113003,0.00011539072331581304,-0.10317564140014034,0.0
0.0,0.25690219392175256,8.484175484400945e-05,-0.11894391454219921,0.0
0.5,0.31723529495691816,5.4675450703711495e-05,-0.13470676248005972,0.0
1.0,0.3775459045862534,2.493790109307791e-05,-0.15045938369754117,0.0
1.5,0.43782941801951364,-4.325133141708054e-06,-0.1661969797936219,0.0
2.0,0.49808123139541843,-3.306825380146917e-05,-0.18191475694407752,0.0
2.5,0.5582967421411841,-6.124645837714951e-05,-0.19760792736172703,0.0
3.0,0.6184713493327354,-8.881517282007955e-05,-0.21327171075483667,0.0
3.5,0.6786004540555615,-0.00011573028401364074,-0.22890133578324803,0.0
4.0,0.7386794597661628,-0.0001419481719276882,-0.24449204151176906,0.0
4.5,0.7987037726540793,-0.00016742574142970514,-0.2600390788604044,0.0
5.0,0.8586688020044462,-0.0001921204537344745,-0.27553771205096983,0.0
5.5,0.9185699605610531,-0.0002159903574666622,-0.29098322004965743,0.0
6.0,0.9784026648898531,-0.000238994119319346,-0.3063708980051059,0.0
6.5,1.038162335742907,-0.00026109105428268346,-0.32169605868154727,0.0
7.0,1.0978443984227004,-0.0002822411554256109,-0.3369540338865812,0.0
7.5,1.15744428314682,-0.0003024051232077512,-0.35214017589315255,0.0
8.0,1.216957425412923,-0.00032154439430274583,-0.36724985885529426,0.0
8.5,1.2763792663639901,-0.0003396211699109959,-0.38227848021720573,0.0
9.0,1.3357052531537996,-0.00035659844354598815,-0.3972214621152354,1.0
9.5,1.3949308393125779,-0.00037244002827010314,-0.4120742527723398,1.0
10.0,1.454051485112829,-0.0003871105833663676,-0.4268323278846038,1.0
10.5,1.5130626579352262,-0.00040057564042265704,-0.4414911919993822,1.0
11.0,1.571959832634611,-0.00041280162881388006,-0.45604637988466323,1.0
11.5,1.6307384919059849,-0.00042375590056454324,-0.470493457889217,1.0
12.0,1.6893941266504848,-0.0004334067545710476,-0.4848280252931311,1.0
12.5,1.7479222363413165,-0.00044172346017032913,-0.4990457156483139,1.0
13.0,1.8063183293895457,-0.00044867628003870063,-0.5131421981085514,1.0
13.5,1.8645779235097728,-0.00045423649240198454,-0.5271131787487313,1.0
14.0,1.9226965460855903,-0.0004583764125456426,-0.5409544018728107,1.0
14.5,1.980669734534816,-0.0004610694136046718,-0.5546616513101436,1.0
15.0,2.0384930366744256,-0.000462289946625634,-0.5682307516997643,1.0
15.5,2.0961620110851844,-0.00046201355987972233,-0.5816575697622501,1.0
