mach,alpha,cl,cd,cm
0.2,2.705901,0.599659482610112,0.0026796154590545207,-0.060658296199255446
0.25,2.627079,0.5994256585622085,0.0028235842193374745,-0.061187577632832064
0.3,13.670133,,,
0.35,2.435476,0.5995523689167913,0.002758693254284656,-0.06328470432272204
0.4,2.314721,0.6002528469327185,0.002704351261716225,-0.0645253478749132
0.45,2.173217,0.6000513199441183,0.002585171694067003,-0.0656728991400737
0.5,2.002229,0.6005649302073595,0.002506658022711817,-0.06755874141967243
0.55,1.794915,0.5996510556514263,0.0023850459778170423,-0.06962540108240803
0.6,1.552822,0.5999941413544443,0.0023107138286746287,-0.07237213488882466
0.65,1.24418,0.6001478110240281,0.002307682640408204,-0.07595074228133517
0.7,0.896473,0.5997787624999884,0.005607848449079019,-0.08090386072422395
0.75,0.490746,0.5997400874581782,0.020720456341517438,-0.11201379599033692
0.8,0.060545,0.5995782505330266,0.04625062461687468,-0.1951879593010157
