aoa,cl,cd,cm
-5.0,-0.010961069279008116,0.006716809804194544,-0.189439179557192
-4.5,0.09065145281200956,0.004929724679561603,-0.1903626619549703
-4.0,0.18909199028178847,0.004266707023254764,-0.1919105178965884
-3.5,0.28616167589986047,0.003925854690977852,-0.1941482252518524
-3.0,0.3825312297277402,0.003741546311820843,-0.19656335351943816
-2.5,0.4787668643146617,0.003675429404954503,-0.1989411876972652
-2.0,0.5753411403614054,0.0037241060492011944,-0.2010794993861132
-1.5,0.6726980169353006,0.003880031511257228,-0.2027138861121216
-1.0,0.7715677043568685,0.004153606584787505,-0.20342169518143144
-0.5,0.8737247403254531,0.004626944712641758,-0.20185009632738488
0.0,0.9797388256568716,0.00603479664993845,-0.19728534604072875
0.5,1.0899653201674613,0.009472821288166462,-0.19480704204801327
1.0,1.1997262644175106,0.016214821467035193,-0.19876720749678953
1.5,1.3091981493110736,0.02676966615423199,-0.2096615968987632
2.0,1.402978279992428,0.040021607750900266,-0.22158711296571687
2.5,1.48223977309611,0.05493005055011491,-0.2324966755494177
3.0,1.5533797241840053,0.07117462801418674,-0.2429342743831109
3.5,1.6147676988419346,0.08802383499358946,-0.2515842828815942
4.0,1.66661719187335,0.1050303592766044,-0.2580052136694572
4.5,1.713199133887085,0.12241834940737548,-0.2633312153767459
5.0,1.753330723925689,0.13981079706016952,-0.2669892783571887
5.5,1.788180431856203,0.1571816642708425,-0.2692750036151641
6.0,1.817958219799824,0.1744218871530299,-0.270180920825549
6.5,1.8457960737460155,0.1919132449988216,-0.27079085355714894
7.0,1.8691450668392129,0.2091323620097583,-0.2701241120981843
7.5,1.8870017628357807,0.22577091377998704,-0.2677553926719397
8.0,1.9023493878188025,0.24231456421634875,-0.26489820518743973
8.5,,,
9.0,,,
9.5,,,
10.0,,,
10.5,,,
11.0,,,
11.5,,,
12.0,,,
12.5,,,
13.0,,,
13.5,,,
14.0,,,
14.5,,,
15.0,,,
15.5,,,
